Embedding 0 -> Document ID: 1, Title: Infographic+LLO-Katalysator+ronde+2
Embedding 1 -> Document ID: 1, Title: Infographic+LLO-Katalysator+ronde+2
Embedding 2 -> Document ID: 2, Title: Dienstverleningsovereenkomst 2025 NTS - UMC
Embedding 3 -> Document ID: 3, Title: Overeenkomst+transformatieplan+met+gemeenten
Embedding 4 -> Document ID: 3, Title: Overeenkomst+transformatieplan+met+gemeenten
Embedding 5 -> Document ID: 3, Title: Overeenkomst+transformatieplan+met+gemeenten
Embedding 6 -> Document ID: 3, Title: Overeenkomst+transformatieplan+met+gemeenten
Embedding 7 -> Document ID: 3, Title: Overeenkomst+transformatieplan+met+gemeenten
Embedding 8 -> Document ID: 3, Title: Overeenkomst+transformatieplan+met+gemeenten
Embedding 9 -> Document ID: 3, Title: Overeenkomst+transformatieplan+met+gemeenten
Embedding 10 -> Document ID: 3, Title: Overeenkomst+transformatieplan+met+gemeenten
Embedding 11 -> Document ID: 3, Title: Overeenkomst+transformatieplan+met+gemeenten
Embedding 12 -> Document ID: 3, Title: Overeenkomst+transformatieplan+met+gemeenten
Embedding 13 -> Document ID: 3, Title: Overeenkomst+transformatieplan+met+gemeenten
Embedding 14 -> Document ID: 3, Title: Overeenkomst+transformatieplan+met+gemeenten
Embedding 15 -> Document ID: 4, Title: Format+regiovisie+op+hoofdlijnen+STO+2025-2028
Embedding 16 -> Document ID: 4, Title: Format+regiovisie+op+hoofdlijnen+STO+2025-2028
Embedding 17 -> Document ID: 4, Title: Format+regiovisie+op+hoofdlijnen+STO+2025-2028
Embedding 18 -> Document ID: 4, Title: Format+regiovisie+op+hoofdlijnen+STO+2025-2028
Embedding 19 -> Document ID: 4, Title: Format+regiovisie+op+hoofdlijnen+STO+2025-2028
Embedding 20 -> Document ID: 4, Title: Format+regiovisie+op+hoofdlijnen+STO+2025-2028
Embedding 21 -> Document ID: 4, Title: Format+regiovisie+op+hoofdlijnen+STO+2025-2028
Embedding 22 -> Document ID: 4, Title: Format+regiovisie+op+hoofdlijnen+STO+2025-2028
Embedding 23 -> Document ID: 4, Title: Format+regiovisie+op+hoofdlijnen+STO+2025-2028
Embedding 24 -> Document ID: 4, Title: Format+regiovisie+op+hoofdlijnen+STO+2025-2028
Embedding 25 -> Document ID: 4, Title: Format+regiovisie+op+hoofdlijnen+STO+2025-2028
Embedding 26 -> Document ID: 5, Title: Samenwerkingsovereenkomst+Programma+Impuls+Open+Leermateriaal+2025-2028
Embedding 27 -> Document ID: 5, Title: Samenwerkingsovereenkomst+Programma+Impuls+Open+Leermateriaal+2025-2028
Embedding 28 -> Document ID: 5, Title: Samenwerkingsovereenkomst+Programma+Impuls+Open+Leermateriaal+2025-2028
Embedding 29 -> Document ID: 5, Title: Samenwerkingsovereenkomst+Programma+Impuls+Open+Leermateriaal+2025-2028
Embedding 30 -> Document ID: 5, Title: Samenwerkingsovereenkomst+Programma+Impuls+Open+Leermateriaal+2025-2028
Embedding 31 -> Document ID: 5, Title: Samenwerkingsovereenkomst+Programma+Impuls+Open+Leermateriaal+2025-2028
Embedding 32 -> Document ID: 5, Title: Samenwerkingsovereenkomst+Programma+Impuls+Open+Leermateriaal+2025-2028
Embedding 33 -> Document ID: 5, Title: Samenwerkingsovereenkomst+Programma+Impuls+Open+Leermateriaal+2025-2028
Embedding 34 -> Document ID: 5, Title: Samenwerkingsovereenkomst+Programma+Impuls+Open+Leermateriaal+2025-2028
Embedding 35 -> Document ID: 5, Title: Samenwerkingsovereenkomst+Programma+Impuls+Open+Leermateriaal+2025-2028
Embedding 36 -> Document ID: 5, Title: Samenwerkingsovereenkomst+Programma+Impuls+Open+Leermateriaal+2025-2028
Embedding 37 -> Document ID: 5, Title: Samenwerkingsovereenkomst+Programma+Impuls+Open+Leermateriaal+2025-2028
Embedding 38 -> Document ID: 6, Title: MDT+2024+Samenwerkingsovereenkomst+(13+februari+2024)
Embedding 39 -> Document ID: 6, Title: MDT+2024+Samenwerkingsovereenkomst+(13+februari+2024)
Embedding 40 -> Document ID: 6, Title: MDT+2024+Samenwerkingsovereenkomst+(13+februari+2024)
Embedding 41 -> Document ID: 6, Title: MDT+2024+Samenwerkingsovereenkomst+(13+februari+2024)
Embedding 42 -> Document ID: 7, Title: Procedurebeschrijving+beoordelingsgerichte+peer+review+2025
Embedding 43 -> Document ID: 7, Title: Procedurebeschrijving+beoordelingsgerichte+peer+review+2025
Embedding 44 -> Document ID: 8, Title: Businesscase+SPUK+DOS+2024+(4-6-2024)
Embedding 45 -> Document ID: 8, Title: Businesscase+SPUK+DOS+2024+(4-6-2024)
Embedding 46 -> Document ID: 8, Title: Businesscase+SPUK+DOS+2024+(4-6-2024)
Embedding 47 -> Document ID: 8, Title: Businesscase+SPUK+DOS+2024+(4-6-2024)
Embedding 48 -> Document ID: 8, Title: Businesscase+SPUK+DOS+2024+(4-6-2024)
Embedding 49 -> Document ID: 8, Title: Businesscase+SPUK+DOS+2024+(4-6-2024)
Embedding 50 -> Document ID: 8, Title: Businesscase+SPUK+DOS+2024+(4-6-2024)
Embedding 51 -> Document ID: 8, Title: Businesscase+SPUK+DOS+2024+(4-6-2024)
Embedding 52 -> Document ID: 8, Title: Businesscase+SPUK+DOS+2024+(4-6-2024)
Embedding 53 -> Document ID: 8, Title: Businesscase+SPUK+DOS+2024+(4-6-2024)
Embedding 54 -> Document ID: 8, Title: Businesscase+SPUK+DOS+2024+(4-6-2024)
Embedding 55 -> Document ID: 8, Title: Businesscase+SPUK+DOS+2024+(4-6-2024)
Embedding 56 -> Document ID: 8, Title: Businesscase+SPUK+DOS+2024+(4-6-2024)
Embedding 57 -> Document ID: 8, Title: Businesscase+SPUK+DOS+2024+(4-6-2024)
Embedding 58 -> Document ID: 8, Title: Businesscase+SPUK+DOS+2024+(4-6-2024)
Embedding 59 -> Document ID: 8, Title: Businesscase+SPUK+DOS+2024+(4-6-2024)
Embedding 60 -> Document ID: 8, Title: Businesscase+SPUK+DOS+2024+(4-6-2024)
Embedding 61 -> Document ID: 9, Title: Kaders voor de verantwoording 2025
Embedding 62 -> Document ID: 10, Title: Formulier+BOSA+2024+vaststellen+artikel+3+(5-9-2024)
